l_orderkey int|l_partkey int|l_suppkey int|l_linenumber int|l_quantity float|l_extendedprice float|l_discount float|l_tax float|l_returnflag string(1)|l_linestatus string(1)|l_shipdate date|l_commitdate date|l_receiptdate date|l_shipinstruct string(25)|l_shipmode string(10)|l_comment string(44)
12929|476|27|2|7|9635.29|0.06|0.04|A|F|1993-10-04|1993-10-02|1993-10-11|COLLECT COD|AIR|gular deposits use deposits. b|
12929|225|14|3|34|38257.48|0.04|0.04|A|F|1993-12-23|1993-10-23|1994-01-18|TAKE BACK RETURN|AIR|sly against the regular|
12929|40|19|4|13|12220.52|0.03|0.04|A|F|1993-11-11|1993-10-09|1993-11-16|DELIVER IN PERSON|SHIP|ke regular, close ideas. |
12930|56|13|1|10|9560.50|0.04|0.04|N|O|1995-12-27|1996-01-08|1996-01-18|NONE|AIR|ven packages are furiously orbits. ca|
12931|546|27|1|4|5786.16|0.08|0.03|R|F|1992-06-11|1992-06-28|1992-06-23|NONE|TRUCK| epitaphs across the blithely even pin|
12931|547|23|2|24|34740.96|0.04|0.06|A|F|1992-05-27|1992-07-17|1992-06-18|COLLECT COD|AIR| cajole blithely. pending, pendin|
12931|328|3|3|24|29479.68|0.09|0.08|R|F|1992-05-22|1992-06-25|1992-06-19|DELIVER IN PERSON|MAIL|s eat express, ironic packages. blithely|
12932|485|22|1|44|60961.12|0.05|0.07|N|O|1997-10-17|1997-11-19|1997-10-23|COLLECT COD|REG AIR|eodolites cajole pending, iro|
12932|121|13|2|50|51056.00|0.07|0.06|N|O|1997-12-16|1997-11-20|1997-12-30|DELIVER IN PERSON|AIR| excuses. regular asymptotes |
12932|232|5|3|5|5661.15|0.02|0.02|N|O|1997-09-07|1997-10-15|1997-09-26|NONE|TRUCK|olites. slyly special packages integrate|
12932|180|25|4|7|7561.26|0.00|0.03|N|O|1997-09-08|1997-11-12|1997-10-01|COLLECT COD|FOB|ar ideas poach b|
12933|496|10|1|3|4189.47|0.00|0.03|N|O|1998-06-07|1998-04-05|1998-06-11|DELIVER IN PERSON|TRUCK|s among the fur|
12933|479|6|2|27|37245.69|0.07|0.06|N|O|1998-05-24|1998-03-26|1998-06-05|TAKE BACK RETURN|RAIL|furiously final foxes cajole |
12933|181|2|3|17|18380.06|0.04|0.03|N|O|1998-03-17|1998-05-09|1998-03-22|COLLECT COD|RAIL|lly unusual dependenc|
12933|328|29|4|30|36849.60|0.00|0.05|N|O|1998-03-06|1998-04-13|1998-03-12|DELIVER IN PERSON|TRUCK| quickly ironic |
12933|503|10|5|50|70175.00|0.07|0.01|N|O|1998-05-29|1998-05-16|1998-06-22|COLLECT COD|REG AIR|uffily. daringly pending packages c|
12933|594|25|6|31|46332.29|0.09|0.06|N|O|1998-03-19|1998-05-07|1998-04-02|TAKE BACK RETURN|AIR|ronic dependencies. carefully regular hocke|
12933|513|22|7|14|19789.14|0.04|0.00|N|O|1998-05-15|1998-05-07|1998-05-25|DELIVER IN PERSON|RAIL| accounts among the special deposits |
12934|505|26|1|37|52003.50|0.10|0.02|A|F|1994-03-15|1994-05-31|1994-04-13|TAKE BACK RETURN|FOB|e stealthy, express epit|
12934|237|10|2|34|38665.82|0.01|0.07|R|F|1994-07-04|1994-05-16|1994-07-26|DELIVER IN PERSON|REG AIR|uring the final theodolites. fur|
12934|192|13|3|5|5460.95|0.03|0.01|R|F|1994-05-20|1994-05-28|1994-06-04|COLLECT COD|RAIL|ly unusual deposits alongside of the slyl|
12934|35|22|4|7|6545.21|0.07|0.04|R|F|1994-06-20|1994-05-10|1994-07-13|TAKE BACK RETURN|SHIP|quickly unusu|
12934|34|5|5|13|12142.39|0.02|0.07|A|F|1994-04-25|1994-05-06|1994-05-21|DELIVER IN PERSON|AIR| final requests cajole bold, silent reque|
12934|238|29|6|50|56911.50|0.03|0.00|A|F|1994-06-16|1994-05-06|1994-06-23|TAKE BACK RETURN|MAIL|uthless deposits wake slyly. care|
12934|356|21|7|47|59048.45|0.06|0.01|A|F|1994-04-22|1994-05-25|1994-05-16|NONE|SHIP|pecial instructions nag s|
12935|6|7|1|9|8154.00|0.10|0.01|A|F|1994-08-10|1994-07-01|1994-08-20|TAKE BACK RETURN|MAIL|special asymptotes sleep furiously. c|
12935|383|2|2|4|5133.52|0.01|0.00|A|F|1994-05-27|1994-08-05|1994-06-13|DELIVER IN PERSON|FOB|jole above the regular, regular gifts|
12935|124|27|3|3|3072.36|0.00|0.02|R|F|1994-06-01|1994-07-15|1994-06-22|TAKE BACK RETURN|REG AIR|ons. blithely final instructions print furi|
12935|565|16|4|31|45432.36|0.10|0.07|A|F|1994-08-23|1994-07-07|1994-08-29|NONE|SHIP|ts cajole blithely against|
12960|91|2|1|38|37661.42|0.02|0.04|A|F|1993-10-26|1994-01-08|1993-11-14|NONE|AIR|structions|
12960|38|9|2|32|30016.96|0.06|0.07|A|F|1994-02-08|1993-12-19|1994-02-21|COLLECT COD|REG AIR|s detect blithely. slyly careful |
12960|412|3|3|8|10499.28|0.01|0.02|R|F|1994-01-05|1993-11-27|1994-02-01|DELIVER IN PERSON|AIR|its cajole. special, bold requests |
12960|71|21|4|38|36900.66|0.08|0.06|A|F|1993-12-04|1993-11-18|1993-12-21|TAKE BACK RETURN|SHIP| quiet requ|
12961|47|26|1|43|40722.72|0.02|0.01|A|F|1995-04-08|1995-01-31|1995-05-01|COLLECT COD|REG AIR|ilent pinto beans cajole fluffily regul|
12961|412|23|2|15|19686.15|0.04|0.01|A|F|1995-02-16|1995-01-30|1995-03-04|COLLECT COD|TRUCK| pending requests ab|
12961|510|1|3|22|31031.22|0.04|0.02|R|F|1995-03-25|1995-02-06|1995-04-17|NONE|MAIL|blithely i|
12961|288|7|4|20|23765.60|0.07|0.03|R|F|1995-01-10|1995-01-30|1995-01-29|NONE|AIR|ges alongside of the accounts |
12962|486|23|1|25|34662.00|0.10|0.07|N|O|1995-10-30|1996-01-26|1995-11-03|NONE|RAIL|ut the blithely express braids. slyly fi|
12962|580|29|2|16|23689.28|0.07|0.04|N|O|1995-12-29|1995-11-30|1996-01-06|NONE|AIR|olites haggle. inst|
12962|461|18|3|43|58542.78|0.00|0.06|N|O|1996-02-04|1996-01-16|1996-03-01|NONE|TRUCK|nts haggle a|
12963|224|15|1|42|47217.24|0.00|0.05|N|O|1998-08-27|1998-08-23|1998-09-01|COLLECT COD|TRUCK|d packages affix quickly quickly u|
12964|80|9|1|7|6860.56|0.05|0.04|N|O|1998-03-31|1998-03-30|1998-04-06|TAKE BACK RETURN|FOB|uriously even pinto beans |
12964|412|23|2|11|14436.51|0.02|0.07|N|O|1998-05-08|1998-03-27|1998-06-07|NONE|TRUCK|y. regular deposits among the blithely cl|
12964|392|3|3|14|18093.46|0.03|0.00|N|O|1998-05-11|1998-02-26|1998-06-03|DELIVER IN PERSON|REG AIR|pinto beans after the blit|
12964|134|7|4|33|34126.29|0.07|0.08|N|O|1998-01-30|1998-03-19|1998-02-12|TAKE BACK RETURN|MAIL|latelets. qui|
12964|266|12|5|32|37320.32|0.05|0.07|N|O|1998-03-14|1998-04-02|1998-03-24|DELIVER IN PERSON|AIR|r the furiousl|
12964|55|4|6|28|26741.40|0.02|0.07|N|O|1998-02-26|1998-02-22|1998-03-01|DELIVER IN PERSON|MAIL|gh the regular accounts. |
12964|186|3|7|38|41274.84|0.10|0.05|N|O|1998-02-02|1998-03-11|1998-02-09|TAKE BACK RETURN|RAIL|riously final deposits; theodoli|
12965|150|1|1|15|15752.25|0.00|0.08|A|F|1993-08-17|1993-08-30|1993-09-12|TAKE BACK RETURN|FOB|counts are furiously|
12965|439|23|2|34|45540.62|0.03|0.08|R|F|1993-09-10|1993-09-07|1993-09-21|COLLECT COD|TRUCK| regular requests. bold,|
12965|335|24|3|35|43236.55|0.02|0.03|R|F|1993-06-29|1993-09-19|1993-07-05|COLLECT COD|FOB|even requests haggle quietly spe|
12966|139|23|1|35|36369.55|0.02|0.07|N|O|1997-12-15|1997-12-11|1997-12-21|COLLECT COD|AIR|ly furiously regular depo|
12966|495|9|2|1|1395.49|0.05|0.04|N|O|1997-12-28|1997-12-21|1998-01-01|TAKE BACK RETURN|AIR|uickly furious|
12967|117|28|1|8|8136.88|0.07|0.02|R|F|1993-10-01|1993-12-03|1993-10-02|TAKE BACK RETURN|FOB|the carefully regular accounts |
12992|5|13|1|32|28960.00|0.01|0.02|N|O|1997-04-09|1997-04-13|1997-04-18|COLLECT COD|RAIL|ic deposits. quick|
12992|185|2|2|6|6511.08|0.06|0.08|N|O|1997-04-04|1997-04-29|1997-04-17|DELIVER IN PERSON|RAIL|atelets about the slyly pendin|
12992|388|7|3|32|41228.16|0.03|0.01|N|O|1997-05-01|1997-04-03|1997-05-19|NONE|RAIL|pecial ideas. blithely final accounts are b|
12992|181|15|4|26|28110.68|0.01|0.02|N|O|1997-06-15|1997-03-29|1997-06-17|DELIVER IN PERSON|MAIL|tes haggle b|
12992|200|21|5|44|48408.80|0.03|0.00|N|O|1997-03-14|1997-04-21|1997-03-31|NONE|REG AIR|oxes. carefully bold grouches|
12992|202|2|6|10|11022.00|0.00|0.05|N|O|1997-05-31|1997-05-04|1997-06-22|NONE|MAIL|lyly express packages. bold, final foxe|
12993|363|12|1|7|8843.52|0.08|0.06|N|O|1998-07-09|1998-07-21|1998-08-04|COLLECT COD|FOB|er the deposi|
12993|272|3|2|22|25789.94|0.05|0.04|N|O|1998-08-03|1998-07-14|1998-08-29|NONE|AIR|never. carefully ironic platelets|
12994|53|24|1|48|45746.40|0.00|0.05|A|F|1995-03-12|1995-02-07|1995-03-21|NONE|AIR|long the pending, bold excuses. pending|
12995|304|9|1|46|55397.80|0.03|0.00|N|O|1996-08-02|1996-09-14|1996-09-01|DELIVER IN PERSON|SHIP|fily along the ironic platelets. exc|
12995|548|4|2|14|20279.56|0.01|0.08|N|O|1996-08-20|1996-09-04|1996-09-01|NONE|MAIL|nts haggle bli|
12995|531|10|3|31|44377.43|0.01|0.02|N|O|1996-10-19|1996-10-17|1996-10-30|DELIVER IN PERSON|MAIL|blithely ironic asymptotes nag quickly|
12995|354|1|4|33|41393.55|0.09|0.00|N|O|1996-10-20|1996-09-27|1996-11-18|NONE|FOB|s cajole. furiously ironic theodolites|
12995|111|12|5|6|6066.66|0.10|0.08|N|O|1996-10-13|1996-09-01|1996-10-19|TAKE BACK RETURN|MAIL|snooze alongside of t|
12995|438|19|6|30|40152.90|0.01|0.04|N|O|1996-09-23|1996-10-10|1996-09-30|COLLECT COD|SHIP| cajole fluffily express requests. bold, r|
12996|198|15|1|8|8785.52|0.09|0.03|N|O|1996-02-19|1996-02-26|1996-03-19|TAKE BACK RETURN|TRUCK|express, ironic|
12996|371|9|2|6|7628.22|0.08|0.01|N|O|1996-02-16|1996-02-03|1996-02-28|NONE|RAIL|y above the always ironic instructions. re|
12996|397|8|3|49|63572.11|0.04|0.03|N|O|1995-12-25|1996-02-12|1996-01-08|NONE|SHIP| nod above the carefully final |
12996|331|26|4|30|36939.90|0.02|0.02|N|O|1996-04-04|1996-01-14|1996-04-28|COLLECT COD|FOB|sts haggle slowly e|
12997|388|26|1|6|7730.28|0.05|0.05|N|O|1996-06-06|1996-08-07|1996-06-30|NONE|RAIL|eposits. sly|
12997|391|2|2|7|9039.73|0.04|0.06|N|O|1996-07-07|1996-06-27|1996-07-08|NONE|REG AIR|eas cajole enticingly? even requests after|
12997|209|13|3|5|5546.00|0.05|0.00|N|O|1996-08-18|1996-08-10|1996-09-12|NONE|AIR| accounts wake deposits. request|
12998|195|16|1|2|2190.38|0.04|0.08|N|O|1997-01-25|1996-11-29|1997-02-04|COLLECT COD|AIR|cial packages boost. regula|
12998|414|25|2|18|23659.38|0.07|0.06|N|O|1996-10-23|1996-11-23|1996-10-27|COLLECT COD|REG AIR|efully. slyly even platelets cajole |
12999|570|26|1|45|66175.65|0.10|0.05|A|F|1993-07-09|1993-06-23|1993-08-04|TAKE BACK RETURN|TRUCK|y ironic ideas use furiously carefully regu|
12999|457|8|2|31|42080.95|0.01|0.06|A|F|1993-05-09|1993-05-21|1993-05-14|DELIVER IN PERSON|TRUCK|jole silently. quickly final foxes d|
12999|195|29|3|36|39426.84|0.00|0.03|A|F|1993-04-24|1993-05-19|1993-05-11|TAKE BACK RETURN|RAIL|unts maintain blithely furiously regular |
12999|257|18|4|20|23145.00|0.01|0.04|A|F|1993-07-05|1993-06-24|1993-07-10|DELIVER IN PERSON|TRUCK|e carefully pending Tiresias? pa|
13024|237|28|1|24|27293.52|0.04|0.04|R|F|1992-06-16|1992-05-26|1992-07-04|DELIVER IN PERSON|RAIL|ckages along|
13024|378|27|2|1|1278.37|0.10|0.02|R|F|1992-05-15|1992-06-11|1992-06-09|COLLECT COD|AIR|sleep? blithely slow requests|
13024|160|11|3|12|12721.92|0.09|0.05|R|F|1992-04-17|1992-04-30|1992-04-24|DELIVER IN PERSON|MAIL|en instructions x-ra|
13025|163|26|1|26|27642.16|0.10|0.01|N|O|1998-02-07|1998-03-22|1998-02-08|NONE|FOB|fully bold theodolites wake. ironic|
13025|33|20|2|24|22392.72|0.00|0.03|N|O|1998-05-19|1998-03-21|1998-05-31|TAKE BACK RETURN|RAIL|mold blithely final accounts. even acc|
13025|311|16|3|21|25437.51|0.08|0.02|N|O|1998-04-15|1998-02-27|1998-04-21|TAKE BACK RETURN|FOB|nag blithely |
13025|282|13|4|32|37832.96|0.00|0.03|N|O|1998-03-15|1998-03-13|1998-04-03|DELIVER IN PERSON|REG AIR| blithely final requests boost |
13026|290|7|1|44|52372.76|0.05|0.07|N|O|1997-06-08|1997-05-23|1997-06-18|DELIVER IN PERSON|RAIL|he slyly silent dugouts|
13026|524|9|2|18|25641.36|0.04|0.01|N|O|1997-05-06|1997-06-23|1997-05-29|COLLECT COD|RAIL|ously. carefully regular reques|
13026|93|14|3|11|10923.99|0.05|0.00|N|O|1997-07-30|1997-05-17|1997-08-23|TAKE BACK RETURN|AIR|nal foxes do maintain am|
13026|513|22|4|26|36751.26|0.10|0.06|N|O|1997-05-21|1997-06-10|1997-06-20|COLLECT COD|REG AIR|uctions. express|
13026|458|15|5|21|28527.45|0.06|0.07|N|O|1997-06-01|1997-05-07|1997-06-29|DELIVER IN PERSON|FOB|es are never. blithely re|
13027|301|2|1|30|36039.00|0.05|0.02|A|F|1992-01-17|1992-02-24|1992-02-04|DELIVER IN PERSON|TRUCK| accounts. unusual deposits are carefull|
13027|67|5|2|33|31912.98|0.01|0.07|R|F|1992-03-24|1992-03-22|1992-04-04|TAKE BACK RETURN|MAIL|, regular package|
13027|219|8|3|15|16788.15|0.08|0.04|A|F|1992-04-06|1992-04-04|1992-04-28|NONE|SHIP| final accounts a|
13027|502|16|4|6|8415.00|0.09|0.01|A|F|1992-03-19|1992-04-04|1992-04-10|TAKE BACK RETURN|REG AIR|olites engage slyly carefully regular|
13027|466|1|5|45|61490.70|0.10|0.06|A|F|1992-03-07|1992-03-05|1992-03-18|COLLECT COD|MAIL|along the |
13028|326|14|1|35|42921.20|0.07|0.07|A|F|1994-04-13|1994-06-22|1994-05-09|DELIVER IN PERSON|RAIL|slyly special accoun|
13028|468|3|2|3|4105.38|0.06|0.00|A|F|1994-05-21|1994-07-03|1994-05-30|NONE|RAIL|ake slyly about the regular|
13028|278|27|3|40|47130.80|0.10|0.01|A|F|1994-05-30|1994-06-25|1994-06-05|DELIVER IN PERSON|SHIP| blithely. regular, silent foxes cajole c|
13028|430|14|4|49|65191.07|0.03|0.06|A|F|1994-05-18|1994-06-13|1994-06-06|COLLECT COD|TRUCK|ts affix b|
13028|134|7|5|43|44467.59|0.01|0.03|R|F|1994-08-05|1994-06-30|1994-08-31|DELIVER IN PERSON|TRUCK|ss the stealthily q|
13029|304|22|1|4|4817.20|0.04|0.08|N|O|1997-11-13|1998-01-13|1997-12-09|DELIVER IN PERSON|MAIL|the ironic, final requests. |
13029|185|15|2|14|15192.52|0.04|0.06|N|O|1998-03-03|1998-01-16|1998-03-26|TAKE BACK RETURN|RAIL| carefully regular ex|
13029|247|23|3|39|44742.36|0.10|0.01|N|O|1997-12-04|1998-01-14|1997-12-26|NONE|TRUCK| even accounts. accounts cajole. b|
13029|51|22|4|34|32335.70|0.00|0.01|N|O|1998-02-04|1998-01-24|1998-03-02|TAKE BACK RETURN|AIR|apades are furiously ab|
13029|94|15|5|44|43739.96|0.03|0.04|N|O|1998-01-23|1997-12-21|1998-02-06|NONE|AIR| dependencies. deposits ab|
13030|502|16|1|42|58905.00|0.03|0.00|A|F|1994-10-17|1994-09-24|1994-10-30|TAKE BACK RETURN|RAIL|ts sleep after the express deposits. blithe|
13030|55|20|2|46|43932.30|0.08|0.07|A|F|1994-08-07|1994-09-16|1994-09-02|TAKE BACK RETURN|MAIL|refully ironic|
13030|401|22|3|27|35137.80|0.05|0.07|R|F|1994-11-19|1994-09-26|1994-11-27|COLLECT COD|REG AIR|ual, final accounts. final, pe|
13031|337|26|1|19|23509.27|0.01|0.07|R|F|1993-01-17|1993-02-26|1993-01-24|COLLECT COD|TRUCK|round the accounts|
13031|230|5|2|39|44078.97|0.01|0.07|R|F|1993-01-07|1993-02-15|1993-01-31|DELIVER IN PERSON|TRUCK|ss packages. final theodolites sleep af|
13031|282|13|3|17|20098.76|0.07|0.07|A|F|1993-03-08|1993-02-26|1993-03-27|TAKE BACK RETURN|REG AIR|e slyly sl|
13031|558|4|4|12|17502.60|0.00|0.05|R|F|1993-01-28|1993-02-16|1993-02-07|TAKE BACK RETURN|AIR|ecial asymptotes doze bli|
13031|125|6|5|44|45105.28|0.05|0.08|R|F|1993-04-03|1993-02-08|1993-04-04|TAKE BACK RETURN|SHIP|unusual packages. blithely regular fra|
13031|24|9|6|38|35112.76|0.08|0.04|R|F|1993-03-08|1993-02-08|1993-03-18|COLLECT COD|MAIL|ly regular dugouts boost carefully careful|
13056|367|8|1|29|36753.44|0.09|0.08|A|F|1994-05-27|1994-05-29|1994-05-31|NONE|FOB|ce of the furiously even the|
13056|371|12|2|36|45769.32|0.03|0.02|R|F|1994-04-24|1994-06-30|1994-05-01|DELIVER IN PERSON|REG AIR|, special deposits haggle thinly accordi|
13056|212|1|3|28|31141.88|0.07|0.03|R|F|1994-06-20|1994-07-18|1994-07-13|NONE|MAIL|efully fluffily unusual acc|
13056|10|11|4|11|10010.11|0.02|0.01|R|F|1994-07-21|1994-05-28|1994-08-20|TAKE BACK RETURN|REG AIR|lly regular frays boost about|
13056|188|22|5|21|22851.78|0.07|0.04|R|F|1994-07-14|1994-06-09|1994-07-30|NONE|SHIP|arefully regular requests are above |
13056|141|25|6|28|29151.92|0.09|0.06|R|F|1994-07-06|1994-06-21|1994-08-03|COLLECT COD|SHIP| express deposi|
13057|555|6|1|44|64044.20|0.02|0.02|N|O|1998-02-22|1998-02-12|1998-03-19|COLLECT COD|SHIP|x-ray above the slyly regular instructi|
13057|243|4|2|16|18291.84|0.08|0.03|N|O|1998-01-14|1998-01-28|1998-02-07|TAKE BACK RETURN|AIR|ests detect |
13058|138|30|1|9|9343.17|0.03|0.05|N|O|1997-05-19|1997-06-14|1997-05-24|COLLECT COD|SHIP|gular deposits. slyly e|
13059|124|5|1|22|22530.64|0.01|0.01|N|O|1997-07-20|1997-06-30|1997-08-04|DELIVER IN PERSON|TRUCK|ecial, regul|
13059|255|1|2|3|3465.75|0.00|0.05|N|O|1997-07-14|1997-08-20|1997-07-17|TAKE BACK RETURN|AIR| slyly bold theodolites-- quickly fin|
13059|349|26|3|40|49973.60|0.03|0.00|N|O|1997-09-20|1997-07-27|1997-09-22|COLLECT COD|RAIL|elets cajole slyly after the furiou|
13059|402|23|4|36|46886.40|0.08|0.08|N|O|1997-06-29|1997-08-08|1997-07-13|NONE|FOB| ironic packages try to haggle caref|
13059|322|14|5|21|25668.72|0.09|0.05|N|O|1997-06-15|1997-08-06|1997-07-06|TAKE BACK RETURN|RAIL|ely ironic pinto beans. deposits haggle-|
13059|537|22|6|35|50313.55|0.05|0.03|N|O|1997-09-24|1997-07-21|1997-10-14|DELIVER IN PERSON|AIR| instructions|
13060|598|21|1|17|25476.03|0.01|0.08|N|O|1997-06-03|1997-04-24|1997-06-05|NONE|REG AIR|ely final instructi|
13060|536|15|2|30|43095.90|0.05|0.00|N|O|1997-04-30|1997-04-05|1997-05-04|COLLECT COD|REG AIR|es sleep bold re|
13060|16|17|3|7|6412.07|0.10|0.03|N|O|1997-02-10|1997-04-24|1997-02-14|COLLECT COD|REG AIR| pending platelets sleep blithely |
13060|256|2|4|40|46250.00|0.10|0.07|N|O|1997-03-26|1997-04-14|1997-04-10|TAKE BACK RETURN|AIR|he blithely re|
13060|365|25|5|36|45552.96|0.05|0.01|N|O|1997-04-19|1997-03-10|1997-04-26|COLLECT COD|TRUCK|the doggedly ironic asympt|
13060|220|25|6|19|21284.18|0.06|0.04|N|O|1997-05-09|1997-05-02|1997-05-26|NONE|RAIL|he pending courts thrash slyl|
13060|222|11|7|32|35911.04|0.10|0.00|N|O|1997-04-14|1997-03-28|1997-05-01|TAKE BACK RETURN|MAIL|encies. furiously unu|
13061|177|10|1|1|1077.17|0.04|0.04|N|O|1997-10-17|1997-10-19|1997-11-03|TAKE BACK RETURN|MAIL|ly special deposits wake |
13061|361|29|2|9|11352.24|0.04|0.08|N|O|1997-11-27|1997-12-10|1997-12-05|TAKE BACK RETURN|SHIP|equests are ironic, regular dep|
13061|562|23|3|37|54114.72|0.06|0.04|N|O|1997-11-14|1997-10-28|1997-11-28|TAKE BACK RETURN|AIR|furiously regular sheaves doze a|
13062|308|30|1|39|47123.70|0.05|0.07|N|O|1996-08-08|1996-06-03|1996-08-14|DELIVER IN PERSON|RAIL|enticingly? |
13062|307|25|2|27|32597.10|0.09|0.06|N|O|1996-07-19|1996-07-29|1996-07-25|NONE|FOB|ending braids haggle carefully final pi|
13062|133|25|3|2|2066.26|0.10|0.02|N|O|1996-07-22|1996-07-19|1996-08-02|DELIVER IN PERSON|MAIL|he unusual, regular ide|
13063|133|6|1|29|29960.77|0.08|0.00|N|O|1997-03-03|1997-03-29|1997-03-22|NONE|MAIL|tes. pending, even warhors|
13063|452|25|2|24|32458.80|0.07|0.06|N|O|1997-02-22|1997-03-13|1997-03-20|COLLECT COD|SHIP|de of the fluffil|
13063|135|27|3|27|27948.51|0.03|0.01|N|O|1997-02-25|1997-03-05|1997-03-09|COLLECT COD|REG AIR|to are. furiously regular r|
13063|108|29|4|45|45364.50|0.05|0.03|N|O|1997-05-13|1997-03-06|1997-05-17|DELIVER IN PERSON|REG AIR|yly express, express fo|
13063|290|21|5|5|5951.45|0.06|0.04|N|O|1997-04-28|1997-04-02|1997-05-11|DELIVER IN PERSON|MAIL|efully furiously r|
13063|463|28|6|45|61355.70|0.04|0.03|N|O|1997-04-24|1997-03-10|1997-05-20|TAKE BACK RETURN|TRUCK|ymptotes integrate? final foxe|
13063|594|13|7|45|67256.55|0.01|0.01|N|O|1997-03-19|1997-03-05|1997-04-08|TAKE BACK RETURN|FOB|s. carefully care|
13088|46|3|1|18|17028.72|0.01|0.00|R|F|1993-08-15|1993-05-27|1993-08-21|NONE|RAIL|tes. carefully bold dependencies are|
13088|6|28|2|42|38052.00|0.10|0.07|R|F|1993-08-02|1993-07-08|1993-08-14|NONE|REG AIR|s wake slyly above the furiously regular|
13088|454|27|3|35|47405.75|0.00|0.06|A|F|1993-05-08|1993-06-15|1993-05-21|COLLECT COD|AIR|quickly final pinto be|
13088|303|21|4|15|18049.50|0.06|0.01|R|F|1993-07-31|1993-07-06|1993-08-02|COLLECT COD|FOB|ts-- carefu|
13088|571|28|5|3|4414.71|0.01|0.06|A|F|1993-08-04|1993-06-09|1993-08-14|COLLECT COD|TRUCK|s cajole regularly furiously ironic acco|
13088|175|2|6|48|51608.16|0.10|0.05|A|F|1993-06-01|1993-06-04|1993-06-23|DELIVER IN PERSON|SHIP|theodolites wak|
13088|170|3|7|46|49227.82|0.04|0.04|A|F|1993-08-11|1993-05-29|1993-09-07|NONE|RAIL|y about the slyly final accou|
13089|573|4|1|28|41259.96|0.05|0.08|N|O|1996-04-07|1996-01-25|1996-04-22|DELIVER IN PERSON|AIR|theodolites boost blithely |
13089|283|16|2|50|59164.00|0.03|0.08|N|O|1996-03-01|1996-02-01|1996-03-18|COLLECT COD|SHIP|nts detect carefully above th|
13089|143|24|3|40|41725.60|0.06|0.08|N|O|1996-02-24|1996-01-29|1996-03-11|NONE|AIR|sts. carefull|
13089|196|17|4|49|53713.31|0.07|0.03|N|O|1996-03-19|1996-03-01|1996-04-10|DELIVER IN PERSON|FOB|packages haggle blithel|
13090|257|18|1|32|37032.00|0.10|0.00|R|F|1993-10-08|1993-08-31|1993-11-01|COLLECT COD|RAIL|ress instruction|
13090|32|27|2|34|31689.02|0.09|0.03|R|F|1993-09-24|1993-09-19|1993-09-28|COLLECT COD|TRUCK|ly regular dinos a|
13090|500|30|3|18|25209.00|0.10|0.08|R|F|1993-11-24|1993-08-28|1993-12-02|COLLECT COD|RAIL|unusual packag|
13090|215|20|4|10|11152.10|0.01|0.07|A|F|1993-08-20|1993-09-29|1993-08-25|TAKE BACK RETURN|MAIL|ideas. regular waters |
13090|7|8|5|20|18140.00|0.00|0.05|R|F|1993-11-01|1993-10-24|1993-11-16|COLLECT COD|RAIL| furiously regular a|
13091|577|26|1|11|16253.27|0.00|0.00|R|F|1995-02-08|1994-12-28|1995-02-18|DELIVER IN PERSON|SHIP|st boldly after the furiously regular court|
13091|131|15|2|11|11342.43|0.10|0.04|A|F|1994-11-22|1995-01-17|1994-12-08|TAKE BACK RETURN|MAIL|egular, pending braids across the|
13091|70|29|3|23|22311.61|0.02|0.02|R|F|1995-02-22|1994-12-27|1995-02-23|NONE|AIR|pinto beans sleep. bold instructions aroun|
13091|318|19|4|31|37767.61|0.07|0.06|A|F|1995-01-26|1995-01-21|1995-01-30|DELIVER IN PERSON|TRUCK|even theodolites snooze quickly special|
13091|420|11|5|38|50175.96|0.08|0.04|R|F|1995-01-26|1995-02-10|1995-02-21|NONE|REG AIR|ly final pinto beans wake ideas. bli|
13091|453|18|6|48|64965.60|0.06|0.01|A|F|1995-03-02|1995-01-23|1995-03-29|DELIVER IN PERSON|SHIP|fully. carefully pending accounts |
13092|293|12|1|31|36991.99|0.00|0.02|N|O|1998-10-20|1998-08-27|1998-11-17|DELIVER IN PERSON|TRUCK|atelets alongside of the caref|
13092|281|28|2|48|56701.44|0.09|0.04|N|O|1998-07-24|1998-09-10|1998-07-27|DELIVER IN PERSON|AIR|dencies. fluffily express dep|
13093|489|10|1|31|43073.88|0.06|0.06|N|O|1996-07-24|1996-06-30|1996-08-11|COLLECT COD|FOB|ckages. regular sentiments use slyly sl|
13093|291|10|2|39|46460.31|0.08|0.07|N|O|1996-07-02|1996-07-18|1996-07-20|COLLECT COD|MAIL| pinto beans u|
13093|545|1|3|15|21683.10|0.03|0.03|N|O|1996-05-15|1996-06-18|1996-05-31|COLLECT COD|TRUCK|ages haggle: unusua|
13094|383|21|1|41|52618.58|0.00|0.02|R|F|1993-09-15|1993-11-04|1993-09-19|COLLECT COD|TRUCK| about the regular packages. warthogs|
13094|10|18|2|16|14560.16|0.00|0.01|R|F|1993-10-05|1993-09-30|1993-10-14|NONE|FOB|e slyly unusual requests. |
13095|68|6|1|42|40658.52|0.10|0.02|N|O|1996-11-20|1996-09-24|1996-12-05|NONE|SHIP|e requests. bold|
13095|305|23|2|49|59059.70|0.02|0.01|N|O|1996-10-18|1996-10-14|1996-11-10|COLLECT COD|FOB|eep packages. f|
13095|387|25|3|46|59219.48|0.08|0.03|N|O|1996-08-29|1996-09-07|1996-09-21|COLLECT COD|SHIP| doggedly furiously ironic deposits. p|
